software_category,software_down,software_name
multimedia,300,Camtasia 
multimedia,700,Total Video Converter 
multimedia,300,Audacity 
multimedia,1000,Nero Burning ROM 
multimedia,200,Paint.NET 
multimedia,13.5,Adobe XD 
multimedia,600,MKV Player 
multimedia,18.3,Free Scan to PDF 
multimedia,800,aTube Catcher 
multimedia,1400,Virtual DJ 
multimedia,8.2,Wynk Music for PC 
multimedia,18.9,Windows Media Player Plus 
multimedia,11.1,Netflix for Chrome 
multimedia,400,VideoPad Video Editor 
multimedia,55.0,VSDC Free Video Editor 
multimedia,18.3,Free Scan to PDF 
multimedia,26.9,Winamp 
multimedia,500,All Video Downloader 
multimedia,5.7,Shotcut 
multimedia,35.8,Inkscape 
multimedia,22.6,Videoder 
multimedia,39.5,Imagine Picture Viewer 
multimedia,24.5,potplayer 32bit 
multimedia,1400,GOM Player 
multimedia,400,Adobe Photoshop CS3 Update 
multimedia,13.3,OBS - Open Broadcaster Software 
multimedia,200,GIMP 
multimedia,9.2,Power ISO 
multimedia,500,SopCast 
multimedia,35.0,Movie Maker Free Video Editor 
multimedia,30.0,AutoCAD 360 
multimedia,39.7,Free PC Audio Recorder 
multimedia,18.9,Free Logo Maker 
multimedia,24.0,RIOT 
multimedia,700,5KPlayer 
multimedia,17.9,Gaana for Windows 10 
multimedia,49.2,Blender 
multimedia,200,Easy Video Maker 
multimedia,44.5,Fast Image Resizer 
multimedia,200,Free MP3 Cutter Joiner 
multimedia,51.1,Video Compressor 
multimedia,5.6,HitFilm Express 
multimedia,28.9,HandBrake 
multimedia,12.9,Pixlr Editor 
multimedia,300,Microsoft PowerPoint Viewer 2007 
multimedia,200,Adobe Photoshop CS5 update 
multimedia,13.2,Music Player 
multimedia,700,Adobe Flash Player (for IE) 
multimedia,28.0,LMMS 
multimedia,54.5,GoPro Studio 
multimedia,76.4,Picture Collage Maker 
multimedia,19.7,Free Any Video Downloader 
multimedia,22.6,WhiteBoard 
multimedia,9.6,Picasa Downloader 
multimedia,300,WavePad Audio Editing Software 
multimedia,29.7,Image To PDF 
multimedia,61.1,XviD Codec 
multimedia,12.8,HoneyView 
multimedia,43.2,FastStone Image Viewer 
multimedia,200,Adobe Dreamweaver CC 
multimedia,6.9,MPC HC 
multimedia,5.7,Plotagon 
multimedia,28.7,Picasa HD 
multimedia,9.7,MP3-DJ 
multimedia,58.8,Easy MP3 Cutter 
multimedia,3200,BS.Player 
multimedia,56.4,Format Factory Portable 
multimedia,50.8,Free FLV Player 
multimedia,100,PIXresizer 
multimedia,35.1,Autodesk Maya 
multimedia,100,Adobe Audition 
multimedia,64.7,Avidemux 
multimedia,29.3,Passport Photo Maker 
multimedia,39.8,ImageJ 
multimedia,5.5,123 Photo Viewer 
